username,text,time
海上繁花,说明华为Mate50要来了,2022.06.03
定静得,个人觉得还是苹果好，不是不爱国，苹果我用了四五年还是风光无限，华为除了价格贵，没多大优势，不喜勿喷,2022.06.05
sunny王签儿,我能不能弱弱的提一个小建议  华为的摄像功能希望改进  还原不出本色 有色差！唯独这一个缺点  只因为这一点被迫要选苹果  摄像如果能媲美苹果  就一定只入国产没跑儿,2022.06.05
公子扶苏,马上搭载麒麟芯片的Mate50王者归来,2022.06.03
不在服务区,我用的华为Mate40 pro,2022.06.05
阿狸只有桃子丶,晚上好  mate 40pro人！,2022.06.03
独白,我觉得mate40的背面设计可以三年不换，目前没一个打得过,2022.06.03
一只小红花,王归来的那一年是那天?鸿蒙系统,2022.06.05
狗改不了吃屎,说实话，想支持华为，但是也太贵了吧,2022.06.05
青稞,晚安各位mate30用户,2022.06.05
奶瓶,说实话，mate50最期待的是会不会用新麒麟，并不是会不会有5G，要是用骁龙的5G也没有意思，就期待麒麟,2022.06.03
兜里木有糖,后悔买了4G版的mate40pro了,2022.06.03
Buffalo³,黄牛直接爽翻，可以继续涨价了,2022.06.03
听闻^,20再战三年,2022.06.03
X先生,怎么下架了,2022.06.03
win 曼巴,从来都没有过，一直用小米，可能用习惯的原因,2022.06.03
妍熙,支持国货，苹果用久了很卡,2022.06.05
多吉宝藏屋,刚刚攒够钱去买，结果下架了。,2022.06.05
我爱抖音极速版,现在mate存货会不会降价，赶快入手,2022.06.05
遗忘,说实话想支持华为，但是也太贵了,2022.06.05
42809824492,支持华为，支持国货,2022.06.05
懂懂,嗯嗯嗯,2022.06.05
娟亅uan,支持华为,2022.06.05
云烟,马上搭载麒麟芯片的Mate50王者归来,2022.06.05
韩',我的40为什么像素不好，,2022.06.05
徐先生好物优选,买不起呀,2022.06.05
刘小狒,我用的华为Mate40Pro,2022.06.05
纳兰真,旧版淘汰，为了迎接新版。,2022.06.05
,,
哪年哪月那天,mate50鸿蒙系统麒麟芯片,2022.06.05
老葵花,喜欢什么买什么，毕竟自己赚的钱，千万别道德绑架，虽然我用的是华为。,2022.06.05
二姐1217,支持国货，支持华为，用了几年还不错。,2022.06.05
夕阳,mate40下架，Mate50王者归来,2022.06.05
天马逼空,华为价格如果在亲民点就没苹果的事了,2022.06.05
沧海二粟,我的M10还在坚持,2022.06.05
我爱抖音极速版,太对了,2022.06.05
如颖随形，形颖不离！,赶紧吧，,2022.06.05
敢敢,40Pro也绝版吗,2022.06.05
雪糕,支持华为，用了几年了的却不错,2022.06.05
李新生,小贵我支持不起，不代表別人。,2022.06.05
bobo,mate40Pro保时捷！哈哈哈,2022.06.05
成见,手机感觉没啥面子可言，也就几千块钱，不过苹果确实不怎么卡，得经常带个充电宝容易没电,2022.06.05
不在服务区,我用的华为Mate40 pro,2022.06.05
Cany,,2022.06.05
李秀梅_,还是国产,2022.06.05
良好市民,p40pro 还行吧。偶尔要卡 得清理缓存  还是苹果的感觉好,2022.06.05
金生,希望华为走出困境再创辉煌。,2022.06.05
俗人,支持华为，用了几年了的却不错,2022.06.05
佳佳爱生活,说实话想支持华为，但是经济不太允许,2022.06.05
大萌评测,mate40啥芯片来着？,2022.06.05
东风，泰,从来都没有过，一直用小米，可能用习惯的原因,2022.06.05
阿狸只有桃子丶,晚上好  mate 40pro人！,2022.06.03
不负时光,倒闭了吧，真棒,2022.06.05
惬意生活,我还没用过,2022.06.05
Ninja,现在华为商城还有mate30Pro 二手版，已抢到了。,2022.06.05
白陌司,,2022.06.05
润,支持华为，支持国货，期待mate50,2022.06.05
啊霖爱羽球,哈哈哈,2022.06.05
墨界 墨界 黑豺 黑豺,我还在用mate30，我觉得依然完全够用啊,2022.06.05
yyy,暴风雨前的宁静,2022.06.05
耗子窝里的仇念,mate40PRO+,2022.06.05
阿狸只有桃子丶,晚上好  mate 40pro人！,2022.06.03
亿万富翁,仅仅是你个人，我买了三个华为手机了！都挑好的买！,2022.06.05
句号。,更新换代太快。追不上呀,2022.06.05
余偌,我mate30pro 还能用两年,2022.06.05
唐唐2000,马上搭载麒麟芯片的Mate50王者归来,2022.06.05
printf（“马北田共骧”）；,,2022.06.05
看到我请叫我打排位上分当事业女性,我是Mate 40e,2022.06.05
烛光,我还在用mate9,2022.06.05
耗子尾汁｀,我的mate9我妈用着，还阔以,2022.06.05
小忄,40系列准备淘汰了吗？,2022.06.05
阿狸只有桃子丶,晚上好  mate 40pro人！,2022.06.03
小蛮腰  ⁶⁶¹,华为手机刚买的新的还不如旧的好用,2022.06.05
沐沐,别闹,2022.06.05
夏夜，星空下 ★,人生的第一台华为手机mate40p5g,2022.06.05
Tritonal,nove6还能再战两年,2022.06.05
单行线,期待王者归来,2022.06.05
筱幸福,,2022.06.05
小瑷Alaso,还没来得及换。手里的p30从19年的4月19刚上市没多久买的一直用到现在，实在找不出换它的理由，就是内存有点不够了，想着换mate系列。,2022.06.05
桃子Panda,未来可期，万事胜意,2022.06.05
修水城市通（原修水在线）—黄林子,256的mate30争取再熬两年,2022.06.05
阿狸只有桃子丶,晚上好  mate 40pro人！,2022.06.03
笑笑,华为很好用啊,2022.06.05
录鲸录（关注私信可拿图),兄弟们，快顶我上去让她看到,2022.06.05
潘驴邓小闲,华为为祖国争光,2022.06.05
congcong,这是华为手机将迎来进一步爆发做充分的准备！相信华为！,2022.06.05
